error,correct form,wrong-word error
ab,albert,True
an,any,True
antique-shops,antique shops,True
causes,clauses,True
cites,cities,True
electric,electrical,True
finish,finnish,True
french,france,True
i,a,True
i,it,True
i,my,True
it,i,True
japan,japanese,True
limes,lime's,True
lion,lyon,True
martin's,martins,True
mesdames,madams,True
middle-age,middle,True
must,most,True
new-guinea,new guinea,True
peek,peak,True
pol,pole,True
prime-minister,prime minister,True
sates,states,True
slaves,slavs,True
some,so,True
tames,thames,True
thus,this,True
town-hall,town hall,True
viking-museum,viking museum,True
war,wars,True
wen,we,True
wigs,whigs,True
x-champion,ex-champion,True
a,i,True
a,an,True
a,are,True
a,as,True
a,at,True
a,or,True
a,our,True
a,the,True
a,us,True
ab,obvious,True
abut,about,True
accept,accepted,True
accept,accepts,True
accordingly,according,True
acing,aching,True
acknowledgement,acknowledgment,True
acquire,aquire,True
acquired,require,True
acquired,required,True
act,acting,True
actions,action,True
actions,acts,True
activity,activities,True
acts,act,True
ad,about,True
add,addition,True
adding,added,True
additional,additionally,True
adhere,adheres,True
admire,admired,True
adolescence,adolescents,True
adoptive,adopted,True
adult,adults,True
adults,adults',True
advance,advice,True
advanced,advance,True
advantageous,advantages,True
advantages,adavntage,True
advertising,advertisement,True
advice,advise,True
advice,advised,True
advices,advice,True
advices,advises,True
advise,advice,True
advise,advised,True
advises,advice,True
aeries,areas,True
aero,arrow,True
aeroplanes,airplanes,True
affective,affected,True
after-all,after all,True
afternoon,afternoons,True
afterwords,afterwards,True
against,again,True
agents,agent,True
agree,agreed,True
aids,aid,True
ain't,don't have,True
air,aeroplane,True
air-flight,flight,True
air-hostess,air-hostesses,True
air-port,airport,True
airliner,airline,True
airplane,aeroplane,True
airplanes,aeroplanes,True
alb,able,True
alert,alerted,True
alike,like,True
aliveness,life,True
all,along,True
all,already,True
all,alright,True
all,also,True
allover,all over,True
allowed,allow,True
alone,along,True
along,a long,True
aloud,allowed,True
alumnae,alumni,True
alumni,alumnae,True
always,away,True
am,was,True
ammunitions,ammunition,True
an,a,True
an,and,True
an,one,True
analysing,analysed,True
and,a,True
and,an,True
and,any,True
and,on,True
anding,end,True
anger,angry,True
angle,angel,True
angle,ankle,True
angles,angels,True
angles,angle,True
angry,anger,True
animals,animal,True
announcement,announced,True
announces,announced,True
annoyed,annoying,True
another,other,True
answer,answered,True
answered,answer,True
answering,answered,True
ant,aunt,True
ant's,aunt's,True
anther,another,True
anxiety,anxious,True
any,another,True
any,many,True
anymore,any more,True
anyone,any,True
anything,any,True
anything,everything,True
anything,something,True
anytime,at any time,True
anyways,anyway,True
apartment,compartment,True
apologies,apologized,True
apologises,apologies,True
appearances,appearance,True
appears,appear,True
appears,appeared,True
appose,opposed,True
approached,approach,True
appropriated,appropriate,True
are,and,True
are,area,True
are,does,True
are,has,True
are,has been,True
are,is,True
are,were,True
are,will be,True
are,would be,True
arguments,arguements,True
arises,arise,True
arose,arouse,True
arouse,arisen,True
aroused,arose,True
arr,around,True
arrange,arranged,True
arranged,arrange,True
arrive,arrived,True
arrived,arrive,True
arrived,arriving,True
arrives,arrive,True
arrives,arrived,True
arriving,arrival,True
as,a,True
as,answer,True
as,at,True
as,has,True
as,is,True
as,like,True
as,us,True
ask,asked,True
ask,asks,True
asked,ask,True
asking,to ask,True
aspect,aspects,True
assembly,assemble,True
assembly's,assemblies,True
assistant,assistance,True
astonish,astonished,True
at,a,True
at,actually,True
at,advance,True
at,all,True
at,and,True
at,as,True
at,on,True
at,that,True
ate,eat,True
ate,eaten,True
atom,atoms,True
attacked,attached,True
attended,attending,True
attitude,attitudes,True
attracted,attractive,True
attracting,attractive,True
attracts,attract,True
authorities,authorities',True
authority,authorities,True
av,have,True
awards,award,True
away,a way,True
awhile,a while,True
awoke,awoken,True
awoke,woke,True
b,probably,True
b,public,True
babbles,bubbles,True
baby's,babies,True
back,backwards,True
back-bone,backbone,True
backing,packing,True
bad,badly,True
bad,bag,True
bad-mood,bad mood,True
badly,bad,True
bag,back,True
bagging,begging,True
bake,beg,True
banana,bananas,True
band,bang,True
bard,bad,True
baron,barren,True
barred,bared,True
base-ball,baseball,True
basic,basis,True
basis,bases,True
bath,bathe,True
bathe,bathed,True
battery,batteries,True
bawd,bored,True
bay,bye,True
bay,day,True
bay,pay,True
bayed,payed,True
be,are,True
be,been,True
be,being,True
be,by,True
be,have been,True
be,to,True
beach,beaches,True
beads,bead,True
bean,been,True
bear,beard,True
beat,bit,True
beaten,bitten,True
beautiful,beautifully,True
beautiful,beauty,True
beautifully,beautiful,True
beautify,beautiful,True
beauty,beautiful,True
became,become,True
beck,beg,True
become,became,True
become,becomes,True
becomes,became,True
becomes,become,True
becoming,become,True
bed-room,bedroom,True
bee,be,True
been,be,True
been,being,True
began,begin,True
began,begun,True
begged,begging,True
begging,beginning,True
begin,began,True
begins,began,True
begins,begin,True
begun,began,True
behave,behaved,True
behave,behaviour,True
behaver,behaviour,True
behaves,behaviour,True
behavior,behaviour,True
behaviors,behaviour,True
behaviours,behaviour,True
being,been,True
being,beginning,True
belief,believe,True
believe,believed,True
believed,believe,True
believes,beliefs,True
bells,bell,True
belong,belonging,True
belt,built,True
bended,bent,True
beneficiary,beneficial,True
benefit,beneficial,True
benefit,benefits,True
benefits,benefit,True
bes,belts,True
beside,besides,True
besides,beside,True
bet,beat,True
better,best,True
between,among,True
bi,being,True
bi-election,by-election,True
bicycle,bicycles,True
bicycle's,bicycle,True
bid,bade,True
big,loud,True
big,major,True
billet,built,True
birth,bath,True
birth,birthday,True
birth-day,birthday,True
birthday's,birthday,True
bit,beat,True
bite,bit,True
biter,bitter,True
bitten,beaten,True
bitten,bit,True
bland,brand,True
bless,blessed,True
blew,blown,True
bloke,blocked,True
blooded,bleeding,True
blur,blurred,True
blurred,blurted,True
blushed,flushed,True
boar,bore,True
boarder,border,True
boast,boasts,True
bonding,bonded,True
bones,bonus,True
boor,bore,True
border,bother,True
border,bothered,True
bordered,boarded,True
borders,boarders,True
bore,were,True
bored,bore,True
borne,born,True
borrow,borrower,True
botanic,botanical,True
bottom,button,True
bough,bought,True
bought,bring,True
bought,brought,True
bought,buy,True
bouquets,bouquet,True
bout,bought,True
bout,but,True
boxen,boxing,True
boy's,boys,True
boy-friend,boyfriend,True
boys,boys',True
brake,break,True
braked,broke,True
brakes,breaks,True
branch,branched,True
brash,brush,True
breach,brush,True
bread,breathe,True
break,breaks,True
break-down,breakdown,True
breakout,outbreak,True
breaks,brakes,True
breath,breathe,True
breath,breathed,True
breathe,breath,True
breeds,bread,True
brides,bride's,True
bridge's,bridges,True
brighten,brightened,True
bring,brought,True
brings,bring,True
brings,brought,True
brining,bringing,True
brinks,brings,True
broke,break,True
broke,broken,True
brother,brother's,True
brother-in-laws,brother-in-law's,True
brothers,brother,True
brought,bought,True
brought,buy,True
buck,back,True
budge,batch,True
build,be built,True
build,built,True
built,build,True
bulling,bullying,True
bun,but,True
burdened,a burden,True
burst,brush,True
bus-fare,bus fare,True
bush,blushed,True
business,busy,True
business-trip,business trip,True
busing,bussing,True
buss,bus,True
busying,busy,True
buts,but,True
butterflied,butterfly,True
buy,bought,True
buy,buys,True
by,be,True
by,but,True
by,buy,True
by,bye,True
by,from,True
bye,buy,True
c,shown,True
caffs,cafes,True
caliber,calibre,True
call,called,True
call,cold,True
called,call,True
calls,call,True
calm,calmed,True
calmed,calm,True
cam,came,True
came,come,True
came,comes,True
came,coming,True
came,went,True
can,can't,True
can,canned,True
can,could,True
can,gun,True
can,may,True
can't,couldn't,True
cancel,be cancelled,True
cancel,cancelled,True
canceled,cancelled,True
canceling,cancelling,True
canned,caned,True
cannot,can,True
cannot,could not,True
cant,can't,True
capitol,capital,True
care,car,True
careless,carelessness,True
cares,cars,True
carrier,career,True
carrot,carat,True
cars,car,True
cartoons,curtains,True
carts,cards,True
case,cases,True
cased,caused,True
cases,causes,True
cast,coast,True
caste,cast,True
castle,castles,True
casual,casualty,True
catalog,catalogue,True
category,categories,True
caught,call,True
cause,because,True
cause,caused,True
cause,causes,True
cause,course,True
caused,cause,True
caused,causing,True
caused,cost,True
causes,caused,True
caveman,cavemen,True
ceases,ceased,True
celling,ceiling,True
cells,cellars,True
center,central,True
center,centre,True
centers,centres,True
central,centre,True
cereals,cereal,True
ch,cochlea,True
ch,crash,True
chair,cheer,True
champion-ship,championship,True
chances,chance,True
change,chance,True
change,changed,True
changed,change,True
changed,exchanged,True
character,characters,True
chartering,chattering,True
cheap,sheep,True
check,cheek,True
check,cheque,True
check-in,check-in,True
checked,check,True
cheep,cheap,True
cheep,sheep,True
cheerleaders,cheer-leaders,True
chewing-gum,chewing gum,True
chicken's,chicken,True
chicks,cheeks,True
child,child's,True
child,children,True
children,child,True
children,children's,True
chip,cheap,True
chipper,cheaper,True
chock,shock,True
chocked,shocked,True
chocolate,chocolates,True
choose,chose,True
choose,chosen,True
chopping,shopping,True
chose,choose,True
chose,chosen,True
citizen,citizens,True
citizen,citizens',True
citizens,citizen,True
citizens,citizen's,True
citizens,citizens',True
class-fund,class fund,True
class-mate,classmate,True
class-mates,classmates,True
classic-music,classical music,True
classmate,classmate's,True
classroom's,classrooms,True
cleaned,cleaning,True
cleanness,cleanliness,True
clear,clearly,True
clime,climb,True
close,closed,True
close,enclose,True
close-up,close,True
closed,close,True
closeness,closure,True
closes,closest,True
closest,closely,True
cloth,clothes,True
clothe,clothes,True
clothings,clothes,True
clothings,clothing,True
cloths,clothes,True
cloudy,cloud,True
clouts,clouds,True
cloves,clothes,True
cloves,clouds,True
clumsy,clumsily,True
co-at,court,True
coals,goals,True
coarse,course,True
coast,caused,True
coast,cost,True
coasts,costs,True
cocking,cooking,True
coconut,coconuts,True
coconuts,coconut,True
coincidence,coincidental,True
coincident,concidence,True
collage,college,True
colleges,colleagues,True
colony,colonist,True
color,colour,True
colored,coloured,True
colors,colours,True
colour,calour,True
colour,color,True
colour,coloured,True
coloured,colourful,True
comb,combed,True
combination,combinations,True
come,came,True
come,comes,True
come,commercial,True
come,to come,True
comes,come,True
comfort,comfortable,True
comfortable,comfortably,True
coming,came,True
comings,coming,True
commits,commit,True
committed,commit,True
common,commonly,True
communicate,communication,True
communities,community's,True
companied,accompanied,True
companions,companion's,True
company,accompany,True
comparing,compared,True
complain,complaining,True
complain,complaint,True
complained,complain,True
complaining,complaint,True
complains,complaints,True
complaint,complain,True
complement,complaint,True
complete,completely,True
comprehensive,comprehension,True
compromising,uncompromising,True
con,common,True
conception,concepts,True
concious,conscious,True
conciousness,consciousness,True
condemn,condemned,True
condemned,condemn,True
condition,conditions,True
conditions,condition,True
conduces,conducts,True
conflictive,?,True
cons,concerning,True
conscious,conscience,True
conscious,consciousness,True
consent,concern,True
consent,concerned,True
consider,considered,True
considerations,consideration,True
constructions,contruction,True
contemplate,contemplating,True
contended,contented,True
continue,continued,True
continues,continued,True
contra-revolution,counter-revolution,True
control,control,True
controlled,control,True
conversations,conversation,True
converted,conversed,True
copes,cops,True
coping,copying,True
core,of course,True
corpse,corps,True
correct,correctly,True
correctly,correct,True
cost,coast,True
costed,cost,True
costs,cost,True
costume,costumes,True
costumers,customers,True
couch,coach,True
coughed,caught,True
could,can,True
could,cold,True
countries,countryside,True
country,countries,True
country-side,countryside,True
courageous,courage,True
course,cause,True
coursing,causing,True
cousin,cousin's,True
cousins,cousin's,True
cover-up,cover up,True
covered,covers,True
cowboy-head,cowboy hat,True
created,creating,True
creature,creatures,True
creatures,creature's,True
crime,crimes,True
crime-activities,crimes,True
crime-rates,crime rates,True
crimes,crime,True
criminality,?,True
criminality,crime,True
criminology,crime,True
crises,crisis,True
crisis,crises,True
crocked,crooked,True
crops,crop,True
cross,crossed,True
crossed,cross,True
crowed,crowded,True
crown-jewels,crown jewels,True
crowns,clowns,True
cruise,cruiser,True
cruiser,cruise,True
cruisers,cruises,True
cruse,cruise,True
cry,crying,True
crying,to cry,True
cub,cab,True
culture,cultures,True
cunt,couldn't,True
curios,curious,True
curl,cure,True
currant,current,True
curses,courses,True
curved,carved,True
custom,custom's,True
customer,customers,True
cut,culture,True
cut,cut off,True
cut,gun,True
cuts,cut,True
cycle,circle,True
dag,dug,True
damage,damaged,True
damage,damaging,True
dance,dances,True
dance,dancing,True
danced,dance,True
dang,dug,True
danger,dangerous,True
dangerous,dangerouse,True
dangers,danger,True
daresay,dare say,True
dark-blue,dark blue,True
dark-eye,dark-eyed,True
dashed,dash,True
daughters,daughter's,True
day,day's,True
day,days,True
day's,days,True
days,day,True
days,day's,True
days,days',True
de,die,True
de,the,True
dead,death,True
dead,die,True
dead,died,True
dead-toll,death-toll,True
dear,deer,True
dears,dear,True
dears,deer,True
dears,deers,True
death,deaf,True
death,died,True
debt,debts,True
deceases,decreases,True
decide,decided,True
decided,decide,True
decree,degree,True
dedicative,dedicated,True
deduct,deduce,True
deers,deer,True
def,devices,True
default,fault,True
defect,defective,True
defected,defective,True
defection,defect,True
defence,defense,True
defense,defence,True
defenseless,defenceless,True
defenses,defences,True
deficit,deficit,True
delighted,delightful,True
delightful,delighted,True
demand,demands,True
dentition,detention,True
departmental,department,True
dependant,dependent,True
depended,dependent,True
dependent,dependant,True
depressive,depressing,True
depth,debt,True
descend,descended,True
descendent,descendant,True
descented,descended,True
describe,described,True
desert,dessert,True
deserts,desserts,True
desire,desirable,True
desire,desired,True
despise,despite,True
destruct,destroy,True
destructed,destroyed,True
destructive,destruction,True
detail,detail,True
developed,develop,True
developments,development,True
develops,develop,True
dew,due,True
dialing,dialling,True
dick,dig,True
dicking,digging,True
did,do,True
did,had,True
did,have done,True
did,were,True
did,would,True
didn't,doesn't,True
didn't,don't,True
die,died,True
died,dead,True
died,die,True
different,differently,True
differs,differ,True
difficulties,difficulty,True
dig,diagrams,True
dig,dug,True
diking,digging,True
diner,dinner,True
dines,dimes,True
dinging,digging,True
dinnertime,dinner-time,True
dinning,dining,True
dinning-compartment,dining-compartment,True
dinning-room,dining-room,True
dint,didn't,True
diplomat,diploma,True
diplomat,diplomats,True
dirt,dirty,True
dirty,dirt,True
disappear,disappears,True
disco,discos,True
discover,discovered,True
discover,discovering,True
discovers,discoveries,True
discreet,discrete,True
discuss,to discuss,True
discussed,discuss,True
discussing,discussions,True
diseased,decreased,True
diseases,disease,True
dishes,dish,True
disobeyed,disobeying,True
dispensable,dispensible,True
distinguish,distinguished,True
distract,distracted,True
disturb,disturbance,True
dive,drive,True
diver,driver,True
diverted,divided,True
divides,divide,True
divorce,divorced,True
do,did,True
do,does,True
does,did,True
does,do,True
doesn't,didn't,True
doesn't,don't,True
dog,dug,True
doing,done,True
dollar,dollars,True
dolor,dollar,True
don't,didn't,True
don't,doesn't,True
don't,won't,True
donates,donated,True
done,do,True
done,does,True
donuts,doughnuts,True
dose,does,True
dough,though,True
dozing,dozy,True
drank,drink,True
drank,drunk,True
draw,drove,True
draw,throw,True
dream,dreaming,True
dreamer,dreamy,True
dreamworld,dream world,True
dress,dressed,True
dressed,dress,True
dressed,dressing,True
dressing,dressed in,True
drew,threw,True
drink,drank,True
drink,drunk,True
drinks,drank,True
drinks,drink,True
driver,driver's,True
drove,drive,True
drug-scene,drug scene,True
drugs,drug,True
drunk,drank,True
drunk,drunken,True
drunkard,drunk,True
drunken,drunk,True
duck,dug,True
dummy,dummb,True
dye,die,True
ear,air,True
ear,earn,True
ear,hear,True
earl,early,True
earlier,earliest,True
earning,earnings,True
earns,earn,True
earth,earths,True
ease,easier,True
easer,easier,True
easily,easy,True
eat,ate,True
eaten,eating,True
economic,economics,True
economical,economic,True
educational,education,True
educations,education,True
eduction,education,True
effect,affect,True
effected,affected,True
effecting,affecting,True
effective,effectively,True
effects,affects,True
efficient,efficiency,True
effort,efforts,True
egoist,egotistic,True
eighteen,eighteenth,True
eighteen-years,eighteen years,True
either,neither,True
elder,elderly,True
elder,older,True
elderly,elder,True
electric,electricity,True
electric-shop,electrical shop,True
electricity-holder,electric socket,True
electronic,electronics,True
electronics,electronic,True
eleventh's,eleventh,True
emotion,emotions,True
emphasise,emphasis,True
employers,employees,True
empted,emptied,True
enable,enables,True
enclose,enclosure,True
enclosed,enclose,True
encourage,encouraged,True
encourage,encourages,True
encourages,encourage,True
encourages,encouraged,True
ends,ended,True
enemies,enemy,True
enemy's,enemies,True
enjoin,enjoy,True
enjoy,enjoyable,True
enjoyable,enjoyment,True
enjoyed,enjoy,True
enjoyed,enjoying,True
enjoying,enjoyable,True
enjoyment,enjoyments,True
ensure,insure,True
enter,entered,True
enter,entering,True
entered,enter,True
entering,entered,True
entertainment,entertainments,True
entry,entree,True
envelop,envelopd,True
epidermic,epidemic,True
equaled,equalled,True
equipments,equipment,True
era,air,True
especial,especially,True
especial,special,True
essay's,essays,True
essentially,essential,True
estrange,strange,True
et,set,True
ether,either,True
evenly,even,True
evens,events,True
event,even,True
event,events,True
ever,even,True
ever,every,True
every,ever,True
every-thing,everything,True
everybody,everybody's,True
everyday,every day,True
everyday,everybody,True
everyone,every one,True
everyone,everyone's,True
everywhere,everywhere,True
evolved,evolve,True
exactly,exact,True
examine,examination,True
examines,examinations,True
exams,examination,True
except,accept,True
excepted,accepted,True
exchange,change,True
exchange's,exchange,True
exchanged,changed,True
exchanged,exchange,True
excited,exciting,True
exciting,excited,True
exciting,excitement,True
exhibit,exhibited,True
exist,exists,True
existed,exist,True
exit,exist,True
exited,excited,True
exiting,exciting,True
expansive,expensive,True
expect,except,True
expected,expecting,True
expenses,expense,True
experiences,experience,True
explains,explained,True
explanations,explanation,True
explored,explore,True
explosive,explosive,True
export,exported,True
export,exports,True
expressed,express,True
ext,extra,True
extend,extent,True
extra-ordinary,extraordinary,True
extremest,most extreme,True
eye,eyes,True
eye's,eye,True
eyeopener,eye-opener,True
eying,eyeing,True
face,faces,True
faces,faced,True
faces,phases,True
facet,fact,True
factors,factor,True
factors,factories,True
fade,fades,True
fade,fed,True
failed,fainted,True
fair,fare,True
faithful,faithfully,True
fall,falls,True
fall,fault,True
fall,fell,True
falling,fall,True
fallow,follow,True
false,faulty,True
families,families',True
families,family,True
families,family's,True
family,families,True
family's,families',True
fantastical,fantastic,True
fare,far,True
fare,fares,True
fare,fire,True
farther,father,True
fas,facts,True
fascinated,fascinating,True
faster,fast,True
father,father's,True
fathers,father's,True
favorable,favourable,True
favorably,favourably,True
favorite,favourite,True
faze,phase,True
fear,fair,True
feared,afraid,True
fears,fear,True
feather,further,True
feature,future,True
fee,free,True
feed,fed,True
feel,feels,True
feel,fell,True
feel,felt,True
feeling,feelings,True
feels,feel,True
feels,felt,True
feet,fit,True
feet,foot,True
fell,fallen,True
fell,falling,True
fell,feel,True
fell,felt,True
felling,feeling,True
felling,felt,True
fellow,following,True
fellow-members,fellow members,True
fellowman,fellow man,True
fells,falls,True
fells,feel,True
felt,fallen,True
felt,falling,True
felt,feel,True
felt,fell,True
festival,festivity,True
fewer,fever,True
fiends,friends,True
fifteen,fifteenth,True
fifty's,fifties,True
fighting,fought,True
file,fire,True
fill,feel,True
fill,full,True
filling,feeling,True
find,finding,True
find,finds,True
find,found,True
find,to find,True
finds,found,True
fine,find,True
finely,finally,True
fingerprints,finger-prints,True
finish,finished,True
finished,finishing,True
firm,film,True
firs,first,True
firstly,at first,True
fishes,fish,True
fishing-tours,fishing tours,True
fist,first,True
five,wife,True
fix,fixed,True
fl,fuel,True
flame,frame,True
flee,fly,True
flies,flew,True
flight,fight,True
floor,floors,True
florescent,fluorescent,True
flouting,floating,True
flow,floor,True
flower,flour,True
flu,flew,True
fluctuations,fluctuates,True
fly,flight,True
folks,folk,True
followed,following,True
following,follow,True
followings,following,True
follows,follow,True
font,fond,True
food,foods,True
food,foot,True
foods,food,True
foods,foots,True
foods,woods,True
foodstuff,foodstuffs,True
fool,fooling,True
fool,foolish,True
fool,full,True
foot,feet,True
